QID	Guest Tokens	Guest HLs	Host Tokens	Host HLs	Vote
CNN-21377-3	"['Very', 'strong', 'words.', 'Very', 'bitter', 'words.', 'And', ""we're"", 'hearing', 'those', 'words', 'from', 'a', 'lot', 'of', 'Republican', 'activists', 'around', 'the', 'country.', 'Intemperate,', 'I', 'might', 'say.', 'Well,', 'they', 'do', 'feel', 'that', 'the', 'election', 'is', 'being', 'stolen.', 'They', 'use', 'that', 'word', 'quite', 'a', 'lot.', 'You', 'see', 'it', 'on', 'the', 'signs.', ""It's"", 'being', 'stolen', 'from', 'them.', 'Republicans', 'are', 'angry', 'about', 'this.', 'Democrats', 'have', 'been', 'frustrated.', 'They', 'feel', 'as', 'if', 'they', 'honestly', 'won', 'the', 'vote,', 'but', ""they're"", 'willing', 'to', 'abide', 'by', 'the', 'vote', 'count,', 'you', 'know,', 'and', '--', 'and', 'if', 'the', 'vote', 'count', 'goes', 'for', 'Bush,', 'I', 'think', 'that', 'would', 'settle', 'the', 'matter.', 'If', 'it', 'goes', 'for', 'Gore,', 'I', 'think', 'Republicans', 'are', 'very', 'angry', 'and', 'they', 'would', 'challenge', 'the', 'legitimacy', 'of', 'even', 'a', 'Gore', 'presidency.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"['On', 'the', 'one', 'hand,', 'Bill,', 'you', 'have', 'legitimacy,', 'which', 'is', 'usually', 'conferred', 'by', 'the', 'votes', 'of', 'the', 'electoral', 'college.', 'On', 'the', 'other', 'hand,', 'you', 'have', 'the', 'practical', 'reality', 'of', 'the', 'power', 'a', 'president', 'must', 'have', 'to', 'push', 'his', 'agenda.', 'Now', 'how', 'does', 'either', 'Al', 'Gore', 'or', 'George', 'W.', 'Bush,', 'given', 'all', ""that's"", 'happened,', 'achieve', 'that', 'kind', 'of', 'mandate', 'for', 'action?']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 3]
CNN-95407-3	"['Hey,', 'Daryn,', 'do', 'you', 'know', 'that', 'kids', 'influence', 'their', 'parents', 'in', 'spending', 'some', '$1', 'trillion', 'a', 'year.', ""It's"", 'amazing', 'the', 'amount', 'of', 'influence', 'that', 'kids', 'have,', 'and', ""it's"", 'mostly', 'because', 'of', 'advertising', 'on', 'television.', 'Your', 'best', 'job,', 'sitting', 'down', 'with', 'your', 'kids', 'and', 'talking', 'with', 'them', 'about', 'what', ""they're"", 'seeing', 'on', 'TV', 'and', 'having', 'them', 'associate', 'those', 'goodies', 'with', 'price', 'tags.']"	[0, 0, 0, 0, 0, 0, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	"['Now', 'something', 'that', 'a', 'lot', 'of', 'adults', ""don't"", 'like', 'to', 'do,', 'draw', 'up', 'a', 'budget.']"	[0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 1.0, 1.0, 1.0, 1.0]	[7, 15]
CNN-162898-6	"['Yes.', 'So', 'what', 'happens', 'is,', 'is', 'typically', 'what', 'happens', 'is', 'an', 'airline,', 'one', 'of', 'them,', 'will', 'file', 'a', 'sale', 'late', 'Monday', 'evening.', 'All', 'the', 'other', 'airlines', 'scramble', 'to', 'match', 'in', 'the', 'morning.', 'The', 'last', 'airfare', 'feed', 'is', 'at', '1:00', 'p.m.', 'Eastern', 'Time.', 'It', 'takes', 'about', 'two', 'hours', 'for', 'it', 'to', 'hit', 'the', 'reservation', 'system.', ""That's"", 'when', 'the', 'maximum', 'number', 'of', 'cheap', 'seats', 'are', 'in', 'the', 'system.', ""You've"", 'got', 'to', 'be', 'careful', 'though,', 'because', 'typically', 'these', 'sales', 'are', 'only', 'lasting', 'for', 'about', 'three', 'days.', 'So,', 'if', ""you're"", 'shopping', 'on', 'Friday', 'or', 'Saturday,', ""you're"", 'probably', 'paying', 'too', 'much', 'for', 'your', 'tickets.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['All', 'right.', 'So', 'that', 'was', 'Tuesday', 'afternoons', 'around', '3:00', 'p.m.,', 'Right?']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 3]
CNN-170110-7	"['Yes.', 'Well,', 'several', 'tips.', 'I', 'mean,', 'up', 'with', 'of', 'the', 'things', 'is', ""don't"", 'panic.', 'You', 'know,', 'you', 'have', 'to', 'understand', 'what', 'risk', 'is.', 'You', 'definitely', 'have', 'to', 'understand', 'what', 'risk', 'is.', ""Don't"", 'panic.', 'This', 'is', 'a', 'long', 'game.', 'You', 'know,', ""we've"", 'watched', 'this.', 'Over', 'the', 'last', 'couple', 'of', 'years,', 'the', 'stock', 'market', 'has', 'been', 'doing', 'pretty', 'well.', 'So,', 'now,', 'of', 'course,', ""it's"", 'going', 'take', 'a', 'hit', 'with', 'all', 'the', 'debt', 'talks', 'and', 'everything', ""that's"", 'going', 'on,', ""there's"", 'a', 'lot', 'of', 'uncertainty.', 'So,', 'you', 'really', 'got', 'to', 'kind', 'of', 'hold', 'your', 'position', 'and', 'make', 'sure', 'you', 'know', 'what', ""you're"", 'investing', 'as', 'well,', 'know', 'if', 'you', 'have', 'mutual', 'funds', 'or', 'if', ""you're"", 'talking', 'about', 'your', 'retirement', '--', 'know', ""what's"", 'inside', 'of', 'that', 'retirement', 'account.', 'Are', 'you', 'investing', 'in', 'treasuries,', 'and', 'what', 'other', 'things', 'are', 'you', 'investing', 'in?']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"['You', 'know,', ""it's"", 'a', 'little', 'bit', 'hard', 'to', 'do.', 'I', 'mean,', 'when', 'you', 'think', 'about', 'it,', 'I', 'look', 'at', 'my', 'statements', 'and', 'there', 'are', 'all', 'these', 'names', 'and', 'all', 'these', 'numbers', 'and', 'all', 'these', 'percentages.', 'And', 'it', 'can', 'be', 'very,', 'very', 'confusing.', 'But', 'what', 'is', 'the', 'simple', 'strategy,', 'very', 'quickly?']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 3]
NPR-4855-7	"['There', 'are', 'a', 'number', 'of', 'options,', 'but', 'none', 'of', 'them', 'are', 'immediate.', 'Lots', 'of', 'people', 'are', 'suggesting', 'all', 'kind', 'of', 'things', 'like', 'importing', 'LNG', 'from', 'the', 'United', 'States', 'and', 'renewables', 'and', 'all', 'sorts', 'of', 'things.', 'But', ""you're"", 'looking', 'at', 'an', 'immediate', 'potential', 'crisis', 'and', 'remedies', 'that', 'are', 'only', 'effective', 'in', 'a', 'five', 'to', 'ten', 'year', 'period']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"['So', ""you're"", 'saying', 'that', ""Europe's"", 'energy', 'future', 'is', 'intrinsically', 'linked', 'for', 'the', 'foreseeable', 'future', 'to', ""Russia's"", 'natural', 'gas', 'supplies?']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 3]
CNN-44404-7	"['Yes,', 'very', 'much', 'so.', 'Exciting', 'to', 'see', 'history', 'being', 'made', 'every', 'day,', 'to', 'work', 'with', 'the', 'dedicated', 'people', 'who', 'are', 'here', 'in', 'the', 'State', 'Department,', 'to', 'work', 'with', 'my', 'colleagues', 'in', 'the', 'administration,', 'to', 'take', 'on', 'challenges', 'such', 'as', 'Afghanistan,', 'but', 'at', 'the', 'same', 'time', 'to', 'take', 'on', 'opportunities', 'such', 'as', 'a', 'new', 'relationship', 'with', 'Russia', 'or', 'China,', 'helping', 'African', 'nations', 'enter', 'the', 'world', 'of', 'trade', 'in', 'the', '21st', 'century,', 'work', 'with', 'our', 'friends', 'here', 'in', 'the', 'Americas', 'on', 'a', 'new', 'free', 'trade', 'agreement', 'for', 'the', 'Americas', 'and', 'see', 'democracy', 'spread', 'throughout', 'the', 'Americas.', 'So', 'even', 'though', ""we're"", 'in', 'a', 'war', 'right', 'now,', 'it', 'is', 'also', 'a', 'time', 'of', 'opportunity', 'and', 'I', 'feel', 'privileged', 'to', 'have', 'been', 'given', 'the', 'opportunity', 'to', 'help', 'President', 'Bush', 'cease', 'those', 'opportunities.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['I', 'remember', 'when', 'you', 'were', 'national', 'security', 'adviser', 'and', 'they', 'used', 'to', 'say', 'that', 'this', '--', 'there', 'automatically', 'is', 'a', 'clash', 'between', 'the', 'national', 'security', 'adviser', 'and', 'State.', 'Do', 'you', 'have', 'a', 'clash', 'with', 'Condoleezza', 'Rice?']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 3]
NPR-8365-10	"[""It's"", 'the', 'evaporated', 'remains', 'or', 'residues', 'of', 'the', 'original', 'beverage', 'that', 'was', 'in', 'the', 'vessels,', 'and', 'in', 'this', 'case', 'it', 'turned', 'out', 'to', 'be', 'a', 'combination', 'of', 'barley,', 'honey', 'and', 'grapes,', 'so', 'it', 'was', 'like', 'a', 'wine,', 'beer', 'and', 'mead', 'all', 'in', 'one.', 'And,', 'you', 'know,', 'your', 'stomach', 'might', 'cringe', 'a', 'little', 'bit', 'at', 'the', 'thought', 'of', 'such', 'a', 'beverage,', 'especially', 'back', 'in', '2000', 'when', 'people', ""weren't"", 'doing', 'all', 'the', 'experimental', 'work', 'that', 'we', 'have', 'going', 'on', 'today,', 'especially', 'among', 'craft', 'brewers.', '\nSo', 'we', 'did', 'some', 'experimental', 'archaeology', 'and', 'got', 'a', 'bunch', 'of', 'microbrewers', 'to', 'go', 'back', 'to', 'their', 'breweries', 'and', 'do', 'up,', 'you', 'know,', 'different', 'versions', 'of', 'what', 'we', 'later', 'called', 'Midas', 'Touch.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.2857142857142857, 0.2857142857142857, 0.7142857142857143, 0.7142857142857143, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.7142857142857143, 0.7142857142857143]	['And', 'so', 'you', 'can', 'still', 'make', 'that', 'old', 'stuff', 'today.']	[0, 0.2857142857142857, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 1.0, 1.0, 0.7142857142857143]	[7, 15]
CNN-174603-13	['Right.', 'Absolutely,', 'he', 'was', 'inside', 'the', 'White', 'House', 'daily', 'briefing.', 'He', 'went', 'over', 'there', 'to', 'hang', 'out', 'with', 'the', 'press', 'secretary', 'and', 'take', 'a', 'few', 'pictures', 'of.', 'You', 'know,', 'he', 'is', 'a', 'real', 'fixture', 'in', 'Washington,', 'D.C.', 'He', 'has', 'spoken', 'a', 'lot', 'at', 'dinners', 'here.', 'People', 'know', 'him', 'well', 'and', 'have', 'enjoyed', 'his', 'comedy,', 'quite', 'frankly,', 'at', 'some', 'of', 'the', 'best', 'even', 'media', 'events', 'around', 'town.']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.375, 0.375, 0.375, 0.5, 0.5, 0.375, 0.5, 0.5, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375]	"['What', 'is', 'it', 'about', 'Washington', 'it', 'attracts', 'him?', 'Is', 'it', 'just', 'because', 'he', 'is', 'such', 'a', 'highly', 'sought-after,', 'I', ""don't"", 'know,', 'emcee', 'of', 'events?']"	[0.25, 0.25, 0.25, 0.25, 0.5, 0.375, 0.375, 0.375, 0.125, 0.125, 0.125, 0.125, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.125, 0.125, 0.125, 0.625, 0.625, 0.625]	[8, 15]
NPR-15505-5	"['He', 'has.', 'And', 'obviously,', 'the', ""city's"", 'very', 'much', 'struggling', 'public', 'school', 'system', 'is', 'something', 'that', 'both', 'President', 'Obama', 'and', 'Mayor', 'Fenty', 'are', 'very', 'deeply', 'interested', 'in,', 'and', 'so', 'that', 'may', 'turn', 'out', 'to', 'be', 'a', 'place', 'where', 'they', 'can', 'find', 'some', 'common', 'ground.', 'But', 'I', 'think', 'on', 'most', 'of', 'the', 'issues', 'that', 'are', 'of', 'special', 'interest', 'to', 'the', 'District', 'of', 'Columbia', '-', 'they', 'were', 'talking', 'about', 'voting', 'rights', 'and', 'that', 'unusual', 'status', 'that', 'the', 'District', 'of', 'Columbia', 'has,', 'not', 'so', 'much', 'as', 'the', 'capital', 'city,', 'but', 'as', 'the', 'capital', 'colony', '-', 'on', 'those', 'kinds', 'of', 'issues', 'that', 'are', 'near', 'and', 'dear', 'to', 'the', 'hearts', 'of', 'Washingtonians,', 'I', ""don't"", 'expect', ""we'll"", 'see', 'so', 'much', 'from', 'this', 'president.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['How', 'does', 'it', 'go?', 'I', 'mean,', 'why', 'has', 'there', 'been', 'a', 'chilly', 'relationship', 'between', 'the', 'city', 'of', 'Washington', 'and', 'the', 'White', 'House?', 'Is', 'it', 'because', 'of', 'the', 'city', 'or', 'because', 'of', 'the', 'White', 'House?']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 3]
CNN-44456-3	"['I', '--', ""I've"", 'been', 'talked', 'to', 'a', 'number', 'of', 'times', 'over', 'the', 'last', 'several', 'years', 'to', 'write', 'a', 'book', 'about', 'a', 'number', 'of', 'things', ""I've"", 'done,', 'and', 'I', 'wanted', 'something', 'that', 'would', 'inspire', 'other', 'people', 'that', '--', 'that', 'had', 'grown', 'up', 'sort', 'of', 'like', 'me,', 'and', 'also', 'something', 'for', 'my', 'kids.', 'You', 'know,', 'to', 'learn', 'about', 'their', 'history,', 'and', 'where', 'they', 'came', 'from,', 'and', 'where', 'I', 'came', 'from.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3333333333333333, 0.3333333333333333, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 1.0, 1.0, 1.0, 1.0]	"[""Let's"", 'talk', 'a', 'little', 'bit', 'about', 'where', 'you', 'came', 'from.', 'What', 'do', 'you', 'want', 'to', 'tell', 'us', 'about', 'your', 'mother?']"	[0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[9, 15]
CNN-347633-7	['Yes,', 'I', 'am.']	[0, 0, 0]	['Yeah.', 'Why', 'should', 'they', 'vote', 'for', 'you', 'because', 'you', 'are', 'going', 'to', 'take', 'on', 'the', 'incumbent?', 'Why', 'should', 'people', 'vote', 'for', 'you', 'instead', 'of', 'him?']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[0, 3]
NPR-1945-4	"[""It's"", 'varying.', 'But', ""I'll"", 'tell', 'you', 'in', 'Uber,', 'for', 'example,', 'SoftBank', 'is', 'now', 'the', 'largest', 'single', 'shareholder', 'in', 'Uber,', 'with', 'Saudi', 'having', 'half', 'of', 'that', 'stake.', 'And', 'I', 'want', 'to', 'make', 'a', 'really', 'important', 'point', 'about', 'what', 'this', 'gets', 'the', 'Saudis.', 'If', ""you're"", 'the', 'young', 'crown', 'prince,', 'you', 'have', 'a', 'problem,', 'which', 'is', 'that', 'the', 'reality', 'of', 'your', 'country', 'is', 'that', ""it's"", 'a', 'fairly', 'barbaric', 'medieval', 'kingdom', 'that', 'runs', 'itself', 'in', 'a', 'way', 'that', 'is', 'inconsistent', 'with', 'the', 'U.N.', 'human', 'rights', 'declaration,', 'that', 'is', 'based', 'on', 'the', 'degradation', 'of', 'women,', 'that', 'beheads', 'people', 'and', 'that', 'might', 'well', 'have', 'murdered', 'Jamal', 'Khashoggi', 'in', 'the', 'consulate', 'in', 'Istanbul.', ""That's"", 'a', 'big', 'image', 'problem.', '\nIn', 'these', 'investments', 'in', 'Silicon', 'Valley', 'and', 'then', 'getting', 'to', 'go', 'to', 'Silicon', 'Valley', 'earlier', 'this', 'year', 'and', 'meet', 'Mark', 'Zuckerberg', 'and', 'meet', 'Jeff', 'Bezos', 'and', 'others,', 'he', 'got', 'exactly', 'what', 'he', 'paid', 'for.', 'He', 'got', 'the', 'illusory', 'glow', 'of', 'being', 'part', 'of', 'the', 'future.', 'And', 'he', 'got', 'some', 'credulous', 'columnists', 'to', 'call', 'him', 'a', 'reformer.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.75, 0.75, 0.75, 0.75, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['So,', 'Anand,', 'you', 'have', 'given', 'one', 'way', 'that', 'the', 'Saudis', 'seem', 'to', 'benefit', 'from', 'this', 'connection', 'with', 'Silicon', 'Valley.', 'The', 'crown', 'prince', 'can', 'go', 'there', 'and', 'get', 'a', 'photo', 'op.', 'But', 'do', 'you', 'have', 'any', 'evidence', 'that', 'when', 'Saudis', 'invest', 'in', 'a', 'company,', 'there', 'are', 'some', 'kinds', 'of', 'strings', 'attached?']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.25, 0.25, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[4, 5]
