QID	Random
CNN-50949-3	0
CNN-191293-5	1
CNN-28077-7	0
NPR-18917-8	0
CNN-22088-3	0
CNN-58823-3	1
CNN-344762-3	1
CNN-95407-11	0
CNN-316325-9	1
CNN-78023-3	1
CNN-217116-7	0
CNN-154710-20	0
NPR-23790-7	1
NPR-15761-3	0
CNN-390220-9	0
NPR-16743-3	0
NPR-16222-13	0
CNN-329196-7	0
CNN-245013-8	0
CNN-319869-5	1
CNN-1649-7	0
CNN-349401-8	0
CNN-31436-9	0
NPR-2995-10	0
CNN-254573-3	0
CNN-185406-9	0
CNN-74624-5	0
CNN-148718-9	0
CNN-112560-7	0
CNN-151830-18	0
CNN-70652-3	0
NPR-41134-14	0
NPR-35888-5	1
NPR-20491-7	1
NPR-32322-5	0
CNN-21949-9	0
CNN-363203-3	0
CNN-226205-5	0
CNN-155836-23	0
NPR-27690-13	0
NPR-13735-12	0
CNN-253680-3	1
CNN-51112-7	0
NPR-986-18	1
NPR-8150-9	0
CNN-166487-12	0
NPR-40990-7	0
CNN-285008-4	0
CNN-61505-15	0
CNN-192572-5	0
NPR-19489-5	0
CNN-155730-5	0
CNN-74084-5	0
CNN-80984-7	0
CNN-154879-3	0
CNN-44522-8	0
NPR-25926-9	1
CNN-175637-9	0
NPR-11718-10	1
CNN-126364-12	0
CNN-274148-3	0
NPR-42758-10	0
NPR-14546-4	0
CNN-390120-3	0
CNN-68683-5	1
CNN-58514-3	0
CNN-401386-3	1
CNN-22810-11	1
CNN-395861-6	0
CNN-237525-9	0
CNN-283887-9	0
NPR-23790-3	0
CNN-136098-3	0
CNN-50898-3	0
CNN-164977-3	0
CNN-13079-5	0
CNN-84604-9	0
NPR-12431-13	0
CNN-274148-7	1
CNN-11451-13	0
CNN-327899-13	1
CNN-231880-5	0
NPR-45810-9	0
CNN-159830-3	0
NPR-2541-21	0
NPR-20286-8	0
CNN-235767-5	0
CNN-42770-17	0
CNN-228174-6	0
NPR-39280-9	0
NPR-22815-3	0
CNN-265170-3	0
NPR-29986-8	0
CNN-217116-9	1
CNN-112560-5	1
NPR-44121-10	0
CNN-178518-5	0
CNN-212822-9	1
CNN-162108-3	0
CNN-38805-3	0
CNN-221236-3	0
CNN-214354-5	1
CNN-10486-11	1
NPR-9347-17	0
CNN-166512-5	0
CNN-174464-13	1
CNN-192500-5	0
CNN-146084-3	0
CNN-378349-3	1
CNN-52217-3	0
CNN-34967-7	0
NPR-6595-7	0
CNN-286124-3	1
NPR-30473-7	0
NPR-41743-13	0
CNN-196162-3	1
CNN-328670-9	1
CNN-385021-10	1
CNN-384581-5	0
CNN-22088-7	1
NPR-8365-7	0
CNN-370927-11	0
NPR-30121-10	0
NPR-4258-5	0
CNN-11952-3	0
CNN-74539-5	0
CNN-68742-3	0
CNN-56267-3	0
NPR-2656-11	0
NPR-23296-9	0
NPR-13476-4	0
NPR-45706-6	0
NPR-5531-10	0
NPR-8339-8	0
CNN-69574-13	1
CNN-339958-3	0
NPR-8339-15	0
CNN-9750-11	0
CNN-18712-3	0
NPR-22815-7	0
NPR-40147-15	1
NPR-19127-3	0
NPR-6831-29	0
CNN-303095-9	0
CNN-198991-5	1
NPR-45058-8	0
NPR-35889-8	0
NPR-17376-15	0
CNN-61505-19	0
NPR-20426-6	0
NPR-20376-3	0
CNN-190136-7	0
CNN-301662-4	0
CNN-26711-3	0
CNN-25526-3	0
CNN-142850-8	0
NPR-27311-8	0
CNN-227626-5	0
NPR-30457-5	0
CNN-371716-3	0
CNN-51112-5	1
CNN-187940-6	0
CNN-279640-5	1
NPR-58-5	0
NPR-33294-11	1
CNN-35048-3	0
NPR-32992-12	0
CNN-144616-5	0
NPR-39794-10	0
NPR-20491-4	0
NPR-10997-3	0
CNN-327899-3	0
NPR-658-8	0
NPR-14546-8	0
CNN-374557-6	1
CNN-36090-7	0
CNN-393323-3	0
NPR-10997-5	0
CNN-58823-9	1
CNN-48129-9	0
NPR-252-13	0
CNN-350653-7	1
CNN-61850-5	0
CNN-374557-10	0
CNN-22554-3	0
CNN-303095-5	0
CNN-40557-5	1
CNN-198991-3	0
NPR-14986-14	1
NPR-39531-4	0
CNN-187362-5	1
CNN-22692-3	1
CNN-36090-3	0
CNN-255832-9	0
CNN-62768-13	1
CNN-51636-9	0
NPR-34690-4	0
NPR-22359-11	0
CNN-57033-5	1
CNN-82534-9	0
NPR-13227-12	0
CNN-65775-3	0
NPR-9347-10	0
CNN-390220-5	1
NPR-21694-3	0
CNN-372119-11	0
CNN-31436-3	0
CNN-59546-7	1
NPR-17919-9	0
CNN-313218-3	0
NPR-12123-3	0
NPR-41516-15	0
CNN-345032-3	0
CNN-54317-5	0
CNN-70747-7	1
NPR-20571-5	1
CNN-388007-7	0
NPR-27460-5	0
NPR-33017-3	0
CNN-63439-7	0
NPR-6131-9	0
CNN-75803-3	0
CNN-341938-3	1
NPR-27311-4	0
NPR-18056-8	0
NPR-23296-7	0
CNN-73833-11	0
CNN-145687-3	0
NPR-12213-3	0
CNN-38493-11	0
CNN-33404-3	0
CNN-61850-11	1
NPR-3764-14	0
CNN-276969-5	0
NPR-11551-6	0
CNN-378674-9	0
CNN-259380-5	0
NPR-19802-5	0
CNN-384940-15	0
CNN-8208-5	1
NPR-27923-3	0
CNN-3409-7	0
NPR-26945-7	0
CNN-33404-5	0
NPR-35922-5	0
CNN-166930-17	0
NPR-26301-10	0
CNN-224806-11	0
CNN-321443-13	0
NPR-7508-9	1
CNN-50501-3	0
CNN-378674-17	0
CNN-408093-3	0
CNN-286787-5	0
NPR-45810-13	0
CNN-143964-5	0
NPR-58-9	0
CNN-254880-9	1
NPR-16405-4	0
CNN-52275-17	0
CNN-80522-7	0
CNN-9396-3	0
CNN-188650-8	0
CNN-122586-9	1
CNN-66127-3	0
CNN-22232-3	0
NPR-45051-11	0
NPR-45810-15	1
NPR-47942-9	0
CNN-30274-10	1
NPR-24380-6	0
CNN-286939-3	0
NPR-32322-11	0
NPR-40437-10	0
CNN-182566-9	0
CNN-148030-5	1
CNN-185406-7	0
NPR-2979-7	0
CNN-231880-9	0
CNN-187362-7	0
CNN-386671-9	1
NPR-4581-6	0
CNN-26647-3	0
CNN-257156-5	0
NPR-42649-11	0
CNN-321443-15	0
NPR-10742-4	1
CNN-82012-6	0
CNN-64921-3	0
CNN-370927-7	1
NPR-2622-10	0
CNN-159391-15	0
NPR-15761-7	0
CNN-42770-7	1
CNN-8419-9	1
NPR-32322-3	0
CNN-224826-5	0
NPR-26677-5	0
CNN-78827-5	0
CNN-245013-12	0
NPR-48919-5	0
NPR-32322-9	0
NPR-636-7	0
CNN-44456-5	0
CNN-75616-9	0
CNN-18448-7	1
NPR-32479-7	0
NPR-5966-3	0
CNN-72381-11	0
NPR-48741-7	0
CNN-378542-11	0
CNN-13309-5	0
NPR-12431-3	0
NPR-42283-9	0
CNN-349795-9	0
CNN-84854-5	0
CNN-236636-5	1
CNN-148766-13	0
CNN-258563-3	0
NPR-15308-5	0
CNN-130492-3	0
NPR-13735-6	0
NPR-30517-3	0
